"Geographic Area Name (NAME)","Vintage Month Description (MONTH_DESC)","Vintage Year (YEAR)","Age Group (AGE_DESC)","Universe Description (UNIVERSE_DESC)","Sex (SEX_DESC)","Population Estimate (POP)"
"Nebraska","July","2023","Age 50-54","Resident Population","Female","53,345"
"Nebraska","July","2023","Age 55-59","Resident Population","Male","55,163"
"Nebraska","July","2023","Age 55-59","Resident Population","Female","53,888"
"Nebraska","July","2023","Age 60-64","Resident Population","Male","60,185"
"Nebraska","July","2023","Age 60-64","Resident Population","Female","60,936"
"Nebraska","July","2023","Age 65-69","Resident Population","Male","54,036"
"Nebraska","July","2023","Age 65-69","Resident Population","Female","56,388"
"Nebraska","July","2023","Age 65 and older","Resident Population","Male","156,401"
"Nebraska","July","2023","Age 65 and older","Resident Population","Female","183,145"
"Nebraska","July","2023","Age 70-74","Resident Population","Male","42,989"
"Nebraska","July","2023","Age 70-74","Resident Population","Female","47,356"
"Nebraska","July","2023","Age 75-79","Resident Population","Male","28,879"
"Nebraska","July","2023","Age 75-79","Resident Population","Female","33,505"
"Nebraska","July","2023","Age 80-84","Resident Population","Male","16,681"
"Nebraska","July","2023","Age 80-84","Resident Population","Female","21,950"
"Nebraska","July","2023","85 years and over","Resident Population","Male","13,816"
"Nebraska","July","2023","85 years and over","Resident Population","Female","23,946"
"Nevada","July","2023","Age under 5","Resident Population","Male","87,561"
"Nevada","July","2023","Age under 5","Resident Population","Female","83,879"
"Nevada","July","2023","Age 5-9","Resident Population","Male","97,361"
"Nevada","July","2023","Age 5-9","Resident Population","Female","92,934"
"Nevada","July","2023","Age 5-13","Resident Population","Male","177,935"
"Nevada","July","2023","Age 5-13","Resident Population","Female","169,445"
"Nevada","July","2023","Age 10-14","Resident Population","Male","101,505"
"Nevada","July","2023","Age 10-14","Resident Population","Female","96,452"
"Nevada","July","2023","Age 14-17","Resident Population","Male","85,506"
"Nevada","July","2023","Age 14-17","Resident Population","Female","81,630"
"Nevada","July","2023","Age 15-19","Resident Population","Male","100,717"
"Nevada","July","2023","Age 15-19","Resident Population","Female","95,040"
"Nevada","July","2023","Age 15-44","Resident Population","Male","658,559"
"Nevada","July","2023","Age 15-44","Resident Population","Female","626,341"
"Nevada","July","2023","Age 16 and older","Resident Population","Male","1,299,524"
"Nevada","July","2023","Age 16 and older","Resident Population","Female","1,292,216"
"Nevada","July","2023","Age 18-24","Resident Population","Male","131,261"
"Nevada","July","2023","Age 18-24","Resident Population","Female","123,123"
"Nevada","July","2023","Age 18 and older","Resident Population","Male","1,256,854"
"Nevada","July","2023","Age 18 and older","Resident Population","Female","1,251,366"
"Nevada","July","2023","Age 20-24","Resident Population","Male","95,119"
"Nevada","July","2023","Age 20-24","Resident Population","Female","89,772"
"Nevada","July","2023","Age 25-29","Resident Population","Male","110,818"
"Nevada","July","2023","Age 25-29","Resident Population","Female","106,035"
"Nevada","July","2023","Age 25-44","Resident Population","Male","462,723"
"Nevada","July","2023","Age 25-44","Resident Population","Female","441,529"
"Nevada","July","2023","Age 30-34","Resident Population","Male","123,065"
"Nevada","July","2023","Age 30-34","Resident Population","Female","118,210"
"Nevada","July","2023","Age 35-39","Resident Population","Male","117,463"
"Nevada","July","2023","Age 35-39","Resident Population","Female","110,831"
"Nevada","July","2023","Age 40-44","Resident Population","Male","111,377"
"Nevada","July","2023","Age 40-44","Resident Population","Female","106,453"
"Nevada","July","2023","Age 45-49","Resident Population","Male","97,942"
"Nevada","July","2023","Age 45-49","Resident Population","Female","96,759"
"Nevada","July","2023","Age 45-64","Resident Population","Male","400,424"
"Nevada","July","2023","Age 45-64","Resident Population","Female","393,451"
"Nevada","July","2023","Age 50-54","Resident Population","Male","103,856"
"Nevada","July","2023","Age 50-54","Resident Population","Female","100,411"
"Nevada","July","2023","Age 55-59","Resident Population","Male","100,189"
"Nevada","July","2023","Age 55-59","Resident Population","Female","97,301"
"Nevada","July","2023","Age 60-64","Resident Population","Male","98,437"
"Nevada","July","2023","Age 60-64","Resident Population","Female","98,980"
"Nevada","July","2023","Age 65-69","Resident Population","Male","87,410"
"Nevada","July","2023","Age 65-69","Resident Population","Female","93,252"
"Nevada","July","2023","Age 65 and older","Resident Population","Male","262,446"
"Nevada","July","2023","Age 65 and older","Resident Population","Female","293,263"
"Nevada","July","2023","Age 70-74","Resident Population","Male","70,763"
"Nevada","July","2023","Age 70-74","Resident Population","Female","79,403"
"Nevada","July","2023","Age 75-79","Resident Population","Male","53,699"
"Nevada","July","2023","Age 75-79","Resident Population","Female","59,437"
"Nevada","July","2023","Age 80-84","Resident Population","Male","30,370"
"Nevada","July","2023","Age 80-84","Resident Population","Female","34,595"
"Nevada","July","2023","85 years and over","Resident Population","Male","20,204"
"Nevada","July","2023","85 years and over","Resident Population","Female","26,576"
"New Hampshire","July","2023","Age under 5","Resident Population","Male","32,033"
"New Hampshire","July","2023","Age under 5","Resident Population","Female","30,552"
"New Hampshire","July","2023","Age 5-9","Resident Population","Male","34,631"
"New Hampshire","July","2023","Age 5-9","Resident Population","Female","33,153"
"New Hampshire","July","2023","Age 5-13","Resident Population","Male","64,456"
"New Hampshire","July","2023","Age 5-13","Resident Population","Female","61,266"
"New Hampshire","July","2023","Age 10-14","Resident Population","Male","37,680"
"New Hampshire","July","2023","Age 10-14","Resident Population","Female","35,525"
"New Hampshire","July","2023","Age 14-17","Resident Population","Male","32,799"
"New Hampshire","July","2023","Age 14-17","Resident Population","Female","30,944"
"New Hampshire","July","2023","Age 15-19","Resident Population","Male","42,314"
"New Hampshire","July","2023","Age 15-19","Resident Population","Female","40,827"
"New Hampshire","July","2023","Age 15-44","Resident Population","Male","268,669"
"New Hampshire","July","2023","Age 15-44","Resident Population","Female","254,820"
"New Hampshire","July","2023","Age 16 and older","Resident Population","Male","587,060"
